"Name","Description","Start Date","Planned End Date","Status"
"Demolition","Demolish existing structures on the construction site.","2023-01-01","2023-01-05","COMPLETED"
"Soil Testing","Conduct soil tests to determine foundation requirements.","2023-01-06","2023-01-07","COMPLETED"
"Foundation Design","Design the foundation based on soil test results.","2023-01-08","2023-01-10","COMPLETED"
"Steel Reinforcement","Install steel reinforcement for the foundation.","2023-01-11","2023-01-13","COMPLETED"
"Concrete Curing","Allow the foundation concrete to cure properly.","2023-01-14","2023-01-21","COMPLETED"
"Wall Construction","Construct walls using bricks and mortar.","2023-01-22","2023-02-05","COMPLETED"
"Roof Insulation","Install insulation material in the roof.","2023-02-06","2023-02-08","COMPLETED"
"Exterior Cladding","Install exterior cladding for weather protection.","2023-02-09","2023-02-15","COMPLETED"
"Interior Partitioning","Create interior partitions using drywall.","2023-02-16","2023-02-20","COMPLETED"
"Ceiling Installation","Install ceilings in all rooms.","2023-02-21","2023-02-25","COMPLETED"
"Floor Leveling","Level the floors before installing flooring materials.","2023-02-26","2023-02-28","COMPLETED"
"Tile Installation","Install tiles in bathrooms and kitchens.","2023-03-01","2023-03-05","COMPLETED"
"Carpentry Work","Install wooden fixtures like cabinets and shelves.","2023-03-06","2023-03-10","COMPLETED"
"Roof Insulation","Install insulation material in the roof.","2025-09-16","2025-09-18","PENDING"
"Exterior Cladding","Install exterior cladding for weather protection.","2025-09-19","2025-09-25","PENDING"
"Interior Partitioning","Create interior partitions using drywall.","2025-09-26","2025-09-30","PENDING"
"Ceiling Installation","Install ceilings in all rooms.","2025-10-01","2025-10-05","PENDING"
"Floor Leveling","Level the floors before installing flooring materials.","2025-10-06","2025-10-08","PENDING"
"Tile Installation","Install tiles in bathrooms and kitchens.","2025-10-09","2025-10-13","PENDING"
"Carpentry Work","Install wooden fixtures like cabinets and shelves.","2025-10-14","2025-10-18","PENDING"
"Glass Installation","Install glass panels for windows and doors.","2025-10-19","2025-10-23","PENDING"
"Fire Safety Systems","Install fire alarms and sprinkler systems.","2025-10-24","2025-10-28","PENDING"
"Elevator Installation","Install elevators for multi-story buildings.","2025-10-29","2025-11-02","PENDING"
"Security Systems","Install security cameras and access control systems.","2025-11-03","2025-11-07","PENDING"
"Pest Control","Apply pest control treatments to the building.","2025-11-08","2025-11-09","PENDING"
"Final Cleaning","Clean the entire building before handover.","2025-11-10","2025-11-13","PENDING"
"Handover Preparation","Prepare documents and finalize handover procedures.","2025-11-14","2025-11-15","PENDING"
"Site Survey","Conduct a detailed survey of the construction site.","2023-01-01","2023-01-02","COMPLETED"
"Permit Acquisition","Obtain necessary construction permits from local authorities.","2023-01-03","2023-01-05","COMPLETED"
"Temporary Utilities Setup","Set up temporary water and electricity for the construction site.","2023-01-06","2023-01-07","COMPLETED"
"Material Procurement","Purchase and deliver construction materials to the site.","2023-01-08","2023-01-12","COMPLETED"
"Scaffolding Installation","Install scaffolding for safe access during construction.","2023-01-13","2023-01-15","COMPLETED"
"Waterproofing","Apply waterproofing materials to the foundation and walls.","2023-01-16","2023-01-18","COMPLETED"
"Staircase Construction","Build staircases for multi-story buildings.","2023-01-19","2023-01-25","COMPLETED"
"Balcony Installation","Install balconies for residential units.","2023-01-26","2023-01-30","COMPLETED"
"Driveway Construction","Construct the driveway for vehicle access.","2023-01-31","2023-02-05","COMPLETED"
"Parking Lot Paving","Pave the parking lot for the building.","2023-02-06","2023-02-10","COMPLETED"
"Roof Insulation","Install insulation material in the roof.","2025-09-16","2025-09-18","PENDING"
" Cladding","Install exterior cladding for weather protection.","2025-09-19","2025-09-25","PENDING"
" Partitioning","Create interior partitions using drywall.","2025-09-26","2025-09-30","PENDING"
"Ceiling ","Install ceilings in all rooms.","2025-10-01","2025-10-05","PENDING"
"Roof Thing","Install insulation material in the roof.","2025-09-16","2025-09-18","IN_PROGRESS"
" Cladding","Install exterior cladding for weather protection.","2025-09-19","2025-09-25","TO_DO"
" Partitioning","Create interior partitions using drywall.","2025-09-26","2025-09-30","TO_DO"
"Electrical Wiring","Install electrical wiring and outlets.","2023-03-11","2023-03-15","COMPLETED"
"Plumbing Installation","Install water pipes and drainage systems.","2023-03-16","2023-03-20","COMPLETED"
"HVAC System","Install heating, ventilation, and air conditioning.","2023-03-21","2023-03-25","COMPLETED"
"Painting","Apply primer and paint to interior walls.","2023-03-26","2023-03-30","COMPLETED"
"Exterior Painting","Apply weatherproof paint to exterior surfaces.","2023-03-31","2023-04-03","COMPLETED"
"Lighting Fixtures","Install lighting fixtures in all rooms.","2023-04-04","2023-04-07","COMPLETED"
"Security System","Install security cameras and alarm systems.","2023-04-08","2023-04-10","COMPLETED"
"Landscaping","Prepare and plant landscaping around the building.","2023-04-11","2023-04-15","COMPLETED"
"Driveway Paving","Pave the driveway with asphalt or concrete.","2023-04-16","2023-04-18","COMPLETED"
"Final Inspection","Conduct final inspection before handover.","2023-04-19","2023-04-20","COMPLETED"
"Furniture Installation","Move and arrange furniture in rooms.","2023-04-21","2023-04-23","COMPLETED"
"Glass Installation","Install glass windows and doors.","2025-09-26","2025-09-30","PENDING"
"Smart Home Setup","Integrate smart home systems like automation.","2025-10-01","2025-10-05","PENDING"
"Energy Efficiency Check","Inspect and optimize energy use.","2025-10-06","2025-10-08","PENDING"
"Final Cleanup","Perform thorough cleaning before handover.","2025-10-09","2025-10-10","PENDING"
"Foundation Excavation","Excavate the site for foundation placement.","2023-01-01","2023-01-03","COMPLETED"
"Concrete Pouring","Pour concrete for foundation slabs.","2023-01-04","2023-01-06","COMPLETED"
"Structural Framing","Assemble structural steel and framing.","2023-01-07","2023-01-12","COMPLETED"
"Window Installation","Install windows throughout the building.","2023-04-24","2023-04-27","COMPLETED"
"Door Installation","Install interior and exterior doors.","2023-04-28","2023-04-30","COMPLETED"
"Insulation Installation","Install insulation in walls and ceilings.","2023-05-01","2023-05-05","COMPLETED"
"Drywall Installation","Install and finish drywall in all rooms.","2023-05-06","2023-05-10","COMPLETED"
"Kitchen Setup","Install kitchen countertops, cabinets, and appliances.","2023-05-11","2023-05-14","COMPLETED"
"Bathroom Fixtures","Install sinks, toilets, and bathtubs.","2023-05-15","2023-05-18","COMPLETED"
"Exterior Landscaping","Lay grass, plant trees, and install garden features.","2023-05-19","2023-05-23","COMPLETED"
"Sidewalk Paving","Construct sidewalks and pathways around the site.","2023-05-24","2023-05-27","COMPLETED"
"Roof Waterproofing","Apply waterproofing layers to the roof.","2023-05-28","2023-05-30","COMPLETED"
"Solar Panel Installation","Install solar panels for energy efficiency.","2025-10-11","2025-10-15","PENDING"
"Elevator Installation","Install and test elevators.","2025-10-16","2025-10-20","PENDING"
"Parking Lot Construction","Lay asphalt or concrete for parking areas.","2025-10-21","2025-10-25","PENDING"
"Signage Installation","Install building signage and safety signs.","2025-10-26","2025-10-28","PENDING"
"Final Handover","Officially hand over the completed building.","2025-10-29","2025-10-30","PENDING"
